subject,method,tests,total,valid,invalid,precision,total_gt,gt_implied,gt_not_implied,recall,f1_score
MathUtil_clamp,clamp,499,18,18,0,100,3,1,2,33.33,50
polyupdate_a1,a1,271,329,5,324,1.52,2,1,1,50,2.95
FastMathNew_floor,floor,286,37,15,22,40.54,1,0,1,0,0
QueueAr_dequeueAll,dequeueAll,241,802,642,160,80.05,5,4,1,80,80.02
simple-examples_abs,abs,281,83,62,21,74.7,3,0,3,0,0
StackAr_push,push,264,324,289,35,89.19,4,2,2,50,64.07
simple-examples_addElementToSet,addElementToSet,313,1,1,0,100,1,1,0,100,100
IntMath_mod,mod,328,305,5,300,1.64,1,0,1,0,0
simple-examples_getMin,getMin,277,64,64,0,100,3,2,1,66.67,80
structure_setX,setX,265,153,123,30,80.39,1,1,0,100,89.13
QueueAr_getFront,getFront,241,289,221,68,76.47,5,4,1,80,78.2
StackAr_makeEmpty,makeEmpty,241,303,170,133,56.11,3,2,1,66.67,60.93
Envelope_maxExtent,maxExtent,273,920,83,837,9.02,4,0,4,0,0
StackAr_topAndPop,topAndPop,264,355,248,107,69.86,5,2,3,40,50.87
Angle_getTurn,getTurn,499,3,3,0,100,4,1,3,25,40
BooleanUtils_toBoolean,toBoolean,499,2,2,0,100,1,1,0,100,100
QueueAr_dequeue,dequeue,241,1406,927,479,65.93,5,1,4,20,30.69
structure_foo,foo,265,4,2,2,50,1,1,0,100,66.67
QueueAr_enqueue,enqueue,241,1303,1055,248,80.97,5,4,1,80,80.48
polyupdate_sm,sm,271,147,31,116,21.09,1,1,0,100,34.83
StackAr_pop,pop,259,292,207,85,70.89,4,2,2,50,58.64
QueueAr_makeEmpty,makeEmpty,264,754,641,113,85.01,5,3,2,60,70.35
StackAr_top,top,259,59,47,12,79.66,4,2,2,50,61.44
BooleanUtils_compare,compare,273,51,42,9,82.35,3,3,0,100,90.32
MathUtilsNew_copySignInt,copySignInt,499,17,17,0,100,4,0,4,0,0
ArithmeticUtils_subAndCheck,subAndCheck,271,3,3,0,100,1,1,0,100,100
listcomp02_insert_r,insert_r,259,34,32,2,94.12,3,3,0,100,96.97
listcomp02_insert_s,insert_s,259,32,30,2,93.75,3,3,0,100,96.77
ringbuffer_count,count,287,513,299,214,58.28,3,0,3,0,0
ringbuffer_extend,extend,287,600,228,372,38,4,1,3,25,30.16
ringbuffer_item,item,287,445,200,245,44.94,3,2,1,66.67,53.69
ringbuffer_remove,remove,287,714,280,434,39.22,3,3,0,100,56.34
ringbuffer_wipeOut,wipeOut,287,415,221,194,53.25,3,3,0,100,69.5
map_count,count,307,27,25,2,92.59,4,0,4,0,0
map_extend,extend,307,58,37,21,63.79,4,1,3,25,35.92
map_remove,remove,307,47,29,18,61.7,5,1,4,20,30.21
maxbag_add,add,256,21,5,16,23.81,3,1,2,33.33,27.78
maxbag_getMax,getMax,256,11,11,0,100,3,2,1,66.67,80
maxbag_remove,remove,256,12,5,7,41.67,4,0,4,0,0
simple-examples_incrementNumberAtIndex,incrementNumberAtIndex,343,57,55,2,96.49,2,0,2,0.00,0.00
Composite_addChild,addChild,299,7175,1535,5640,21.39,5,0,5,0.00,0.00
doublylinkedlistnode_insertRight,insertRight,316,93,78,15,83.87,4,1,3,25.00,38.52
doublylinkedlistnode_remove,remove,316,79,79,0,100.00,1,1,0,100.00,100.00
